question,answer
ആത്തചക്കയുടെ ഫലങ്ങൾ എത്ര കാലം നല്ലവയായി നിലനിൽക്കുന്നു?,15-20 വർഷം വരെ ആത്തചക്കയുടെ ഫലങ്ങൾ നല്ലവായി നിലനിൽക്കുന്നു.
ആത്തചക്ക ഏതു പ്രയോജനങ്ങൾക്ക് ഉപയോഗപ്പെടുത്താം?,"ആത്തചക്ക പിത്തം കുറയ്ക്കാനും, വാതം കുറയ്ക്കാനും, മാംസപേശികൾക്ക് ശക്തി നൽകാനും ഉപയോഗപ്പെടുത്താം."
ടെറസ് കൃഷി എന്താണ്?,"ടെറസ് കൃഷി ഭക്ഷ്യസുരക്ഷ, സാമ്പത്തികലാഭം, ആരോഗ്യത്തിനും മാനസികോല്ലാസത്തിനും ഉപകരിക്കുന്ന ഒരു കാർഷികരീതി ആണ്."
ടെറസ് കൃഷിയുടെ ഗുണങ്ങൾ എന്തെല്ലാം?,"ഭക്ഷ്യസുരക്ഷ, സാമ്പത്തികലാഭം, ആരോഗ്യത്തിനും മാനസികോല്ലാസത്തിനും ഉപകാരമാണ്."
ടെറസ് കൃഷി ഹരിതഗൃഹവാതകങ്ങളുടെ ഉല്പാദനത്തിന് എങ്ങനെ സഹായിക്കുന്നു?,ടെറസ് കൃഷി ഹരിതഗൃഹവാതകങ്ങളുടെ ഉല്പാദനവും വ്യാപനവും ചുരുക്കുക എന്ന ആഗോളലക്ഷ്യത്തെ സഹായിക്കും.
മെല്കൂറ് കൃഷി എന്താണ്?,"ശ്രദ്ധയോടെ നടത്തി കൊണ്ടുള്ള മേൽക്കൂറ് കൃഷി, വീടിന്റെ ചുറ്റും നിലനിർത്താവുന്ന മികച്ച കാലാവസ്ഥയും ദൃശ്യഭംഗിയും സൃഷ്ടിക്കുന്നു."
ടെറസ് കൃഷി എങ്ങനെ ഫലപ്രദമാണ്?,"സൂര്യപ്രകാശം, ജലം, ജൈവാവശിഷ്ടങ്ങൾ എന്നിവയുടെ നല്ല ഉപയോഗത്തോടെയാണ് ടെറസ് കൃഷി ഫലപ്രദമായിരിക്കുകയുള്ളത്."
ടെറസ് കൃഷിയ്ക്ക് ഏറ്റവും അനുയോജ്യമായ കാലം എപ്പോഴാണ്?,"ശക്തമായ മഴക്കാലം കഴിഞ്ഞ്, ടെറസ് മെല്ലെ ഉണങ്ങിവരുന്ന ആഴ്ച്ചകളാണ് കൃഷി തുടങ്ങാൻ ഏറ്റവും നല്ലത്."
കേരളത്തിൽ ടെറസ് കൃഷി എപ്പോഴാണ് ആരംഭിക്കുക?,"ഓണക്കാലം കഴിഞ്ഞ് (സെപ്റ്റംബർ മദ്ധ്യത്തിൽ) കൃഷി ആരംഭിക്കുക, തുടർന്ന് ഇടക്കിടെ പെയ്യുന്ന മഴയും തുലാവർഷവും കൃഷിക്ക് അനുയോജ്യമാണ്."
മഴക്കാലത്തിന് മുമ്പ് ടെറസ് കൃഷി എങ്ങനെ അവസാനിപ്പിക്കണം?,മേയ് അവസാനം കാലവർഷം തുടങ്ങുന്നതിന് അല്പദിവസം മുൻപ് കൃഷി അവസാനിപ്പിച്ച് ടെറസ് വൃത്തിയാക്കാം.
ഉപയോഗിച്ച മണ്ണിന്റെ കാര്യത്തിൽ എന്ത് ചെയ്യണം?,ഉപയോഗിച്ച മണ്ണ് ഒരു ഇടത്ത് കൂട്ടി പോളിത്തീൻ ഷീറ്റ് കൊണ്ടു മൂടിയാൽ അടുത്ത കൃഷിക്ക് അത് ഉപയോഗിക്കാൻ കഴിയും.
ടെറസ് കൃഷി എങ്ങനെ ഭക്ഷ്യസുരക്ഷയിൽ സഹായകമാണ്?,"ടെറസ് കൃഷി ഭക്ഷ്യസുരക്ഷ ഉറപ്പാക്കുന്നതിന്റെ പുറമെ, സ്വയംനിർമ്മിതമായ ഭക്ഷ്യവളവുകൾ ലഭ്യമാക്കുന്നു."
ടെറസ് കൃഷി എങ്ങനെ മാനസികോല്ലാസത്തിന് സഹായകമാണ്?,"ടെറസ് കൃഷി ഇളവുള്ള ഒരു പ്രവർത്തി ആയി, കുടുംബങ്ങൾക്കും സമൂഹത്തിനും മാനസിക ശാന്തി നൽകുന്നു."
ടെറസ് കൃഷി എങ്ങനെ മികച്ച ഒരു ഗൃഹാലങ്കാരമാർഗ്ഗമാണ്?,"ടെറസ് കൃഷി വീടിന്റെ ചുറ്റും നിലനിർത്താവുന്ന ദൃശ്യഭംഗി സൃഷ്ടിക്കുന്നു, ഇത് ഗൃഹാലങ്കാരത്തിന്റെ ഭാഗമായി മാറുന്നു."
ടെറസ് കൃഷി എങ്ങനെ സാമ്പത്തികലാഭം നൽകുന്നു?,ടെറസ് കൃഷി നിന്നു കിട്ടുന്ന വിളകൾ കുടുംബത്തിനും സ gemeenschap ലാഭത്തിനും സഹായകമാണ്.
നിലവിലുള്ള ടെറസ് കൃഷി എങ്ങനെ പരിപാലിക്കണം?,"ടെറസ് കൃഷി മികച്ച രീതിയിൽ പരിപാലിക്കുക, സമയോ മറ്റു വിഭവങ്ങൾക്കായി നീക്കിവെക്കാതെ നടത്തേണ്ടതാണ്."
ടെറസ് കൃഷി സൂര്യപ്രകാശത്തിന്റെ കാര്യത്തിൽ എങ്ങനെ ഗുണകരമാണ്?,ടെറസ് കൃഷി സൂര്യപ്രകാശത്തിന്റെ നല്ല ഉപയോഗത്തിന് മികച്ച ഒരു ഉദാഹരണമാണ്.
ശക്തമായ മഴകാലത്ത് ടെറസ് കൃഷിക്ക് എങ്ങനെ ദോഷം ഉണ്ടാകാം?,ശക്തമായ മഴയിൽ മണ്ണിലെ ലവണാംശങ്ങൾ നഷ്ടപ്പെടുകയും വളക്കൂറ് കുറയുകയും ചെയ്യും.
തുടർച്ചയായ മഴയുള്ള സമയത്ത് ടെറസ് കൃഷി എങ്ങനെ നടത്തരുത്?,"തുടർച്ചയായ മഴയുള്ള സമയത്ത് ടെറസ് കൃഷി നടത്തുന്നത് അപകടകരമാകാം, കാരണം സിമന്റ്മേൽക്കൂരയിൽ വെള്ളം നല്കാൻ സാധ്യതയുണ്ട്."
വീട്ടുവളപ്പിൽ പച്ചക്കറി കൃഷിക്ക് എന്ത് സ്ഥലമാകണം?,നല്ല സൂര്യപ്രകാശം ലഭിക്കുന്ന സ്ഥലം കൃഷിക്കായി തിരഞ്ഞെടുക്കണം.
ജലസേചന സൗകര്യങ്ങൾ എങ്ങനെ ഒരുക്കണം?,ജലസേചന സൗകര്യങ്ങൾ ലളിതമാക്കിയെടുക്കണം.
വെള്ളം കെട്ടിനിൽക്കുന്നത് എങ്ങനെ ഒഴിവാക്കാം?,"നീര്‍വാര്‍ച്ച ഉറപ്പാക്കണം, വെള്ളം കെട്ടിനിന്നാൽ മിക്ക പച്ചക്കറികള്‍ക്കും രോഗബാധയുണ്ടാകുകയോ ചീഞ്ഞു പോകുകയോ ചെയ്യും."
കൃഷിക്കായുള്ള സ്ഥലം എങ്ങനെ ഒരുക്കാം?,"കൃഷിക്കായുള്ള സ്ഥലം കിളയ്ക്കുന്നതിനു ചെറിയ മണ്ണുവെട്ടി, ചെടിയുടെ കമ്പുകൾ മുറിക്കാൻ കത്രിക പോലുള്ള സിക്കേച്ചറുകൾ, ചെറു സ്പെയറുകൾ മുതലായവ ഉപയോഗിക്കണം."
വീട്ടുവളപ്പിൽ കൃഷിക്ക് സൗകര്യമില്ലെങ്കിൽ എന്ത് ചെയ്യണം?,മട്ടുപ്പാവ് ഇവിടുത്തെ കൃഷിക്ക് തയ്യാറാക്കാം.
മട്ടുപ്പാവിലെ കൃഷിയിൽ എന്തൊക്കെയാണ് ഉപയോഗിക്കാൻ പറ്റുന്നത്?,"മട്ടുപ്പാവിലെ കൃഷിയിൽ പോളി കവറുകൾ, ചട്ടികൾ, ബേസിനുകൾ, വായ്‌വട്ടമുള്ള മറ്റ് പാത്രങ്ങൾ, ചെറു ചാക്കുകൾ എന്നിവ ഉപയോഗിക്കാം."
ടെറസിൽ പച്ച മുളക് കൃഷി എങ്ങനെ നടത്താം?,"പച്ച മുളക് എളുപ്പത്തിൽ കൃഷി ചെയ്യാവുന്ന ഒന്നാണ്, അതിനാൽ വലിയ ബുദ്ധിമുട്ടുകൾ ഇല്ലാതെ ടെറസിൽ കൃഷി ചെയ്യാം."
പച്ച മുളക് പ്രധാന ഇനങ്ങൾ എന്തെല്ലാം?,"അനുഗ്രഹ (പച്ചനിറം, എരിവ് കുറവ്), ഉജ്ജ്വല (ചുവപ്പ് നിറം, എരിവ് കൂടുതൽ), മഞ്ജരി, ജ്വാലാമുഖി എന്നിവയും മികച്ച പച്ച മുളക് ഇനങ്ങളാണ്."
പച്ച മുളക് കൃഷിക്ക് അനുയോജ്യമായ സമയം എപ്പോഴാണ്?,"മെയ് മാസമാണ് പച്ച മുളക് കൃഷിക്ക് ഏറ്റവും അനുയോജ്യം. മെയ് - ജൂൺ, ആഗസ്റ്റ് - സെപ്റ്റംബർ, ഡിസംബർ - ജനുവരി ആണ് കൃഷി ചെയ്യാൻ ഉത്തമം."
ഇന്ത്യൻ പച്ച മുളക് സൗദി സര്‍ക്കാര്‍ നിരോധിച്ചതിന്റെ കാരണം എന്ത്?,അനുവദനീയമായതിലും അധികം കീടനാശിനികളുടെ സാന്നിധ്യം കണ്ടെത്തിയതിനെ തുടർന്ന് നിരോധനം വന്നതാണ്.
പച്ച മുളക് കൃഷി ചെയ്യുമ്പോൾ എന്ത് ശ്രദ്ധിക്കണം?,"പച്ച മുളക് കൃഷി ചെയ്യുമ്പോൾ കീടനാശിനികളുടെ അളവിന് ശ്രദ്ധിക്കണം, കൂടാതെ നിലവാരം ഉറപ്പാക്കേണ്ടതാണ്."
ഉള്ളിയിൽ വൈറ്റമിൻ സി എന്തിനാണ് സഹായിക്കുന്നത്?,"ഉള്ളിയിൽ വൈറ്റമിൻ സി പല രോഗങ്ങളിൽ നിന്നും നമ്മെ സംരക്ഷിക്കുന്നു, അവ ശരീരത്തെ സുരക്ഷിതമാക്കുന്നു."
ഉള്ളിയിൽ അടങ്ങിയിരിക്കുന്ന സൾഫർ സംയുക്തങ്ങൾ എന്താണ് ചെയ്യുന്നത്?,ഉള്ളിയിൽ അടങ്ങിയിരിക്കുന്ന സൾഫർ സംയുക്തങ്ങൾ അർബുദത്തെ പ്രതികൂലമായി ബാധിക്കുന്നു.
ഉള്ളി എന്താണ് സഹായിക്കുന്നത്?,ഉള്ളി വേദനയും തകരാറുകളും ഒഴിവാക്കാൻ സഹായിക്കുന്ന വൈറ്റമിൻ സപ്പോണുകൾ ഉൾക്കൊള്ളുന്നു.
പഞ്ചസാര അളവ് പരിശോധിക്കാൻ എന്ത് ഉപകരണം ഉപയോഗിക്കാം?,നിങ്ങളുടെ പഞ്ചസാര അളവ് പരിശോധിക്കാൻ റോ സിലിണ്ടറിന്റെ ശുപാർശ ഉപയോഗിക്കാം.
ഉള്ളി ജ്യൂസ് എങ്ങനെ ഉപയോഗിക്കാം?,"ഉള്ളി ജ്യൂസ് മുഖത്തു പുരട്ടിയ ശേഷം അരമണിക്കൂർ മുടിയിൽ വയ്ക്കുക, മുടി ഉയർത്ത്, തലയോട്ടി വൃത്തിയാക്കുക."
മണ്ണുപരിശോധന എങ്ങനെ നടത്തണം?,മണ്ണുപരിശോധന നടത്തുന്നത് നല്ലതാണ്. 500 ഗ്രാം വരുന്ന സാമ്പിളാണ് പരിശോധനയ്ക്ക് എടുക്കേണ്ടത്.
സാമ്പിൾ എങ്ങനെ എടുക്കണം?,കൃഷിസ്ഥലത്തെ മുഴുവൻ പ്രതിനിധീകരിക്കുന്നതാകണം_sampling. Pulvered samples taken from the clean area with grass and rocks removed.
സാമ്പിൾ എടുക്കുന്ന വിധി എന്താണ്?,പുല്ലും ഇലകളും കല്ലുകളും നീക്കി വൃത്തിയാക്കിയ സ്ഥലത്തുനിന്ന് മണ്‍വെട്ടി ഉപയോഗിച്ച് ഒരടി ആഴത്തിൽ 'V' ആകൃതിയിൽ മണ്ണ് വെട്ടി മാറ്റണം.
സാമ്പിൾ എടുക്കുന്നതിനായി എത്ര മണ്ണ് വേണം?,2-3 സെ.മീ. കനത്തിൽ മണ്ണ് ഇരുവശത്തുനിന്നും അരിഞ്ഞെടുക്കണം.
എങ്ങനെ 500 ഗ്രാം മണ്ണ് കിട്ടും?,ഇങ്ങനെ എടുത്ത മണ്ണ് നന്നായി കൂട്ടിക്കലര്‍ത്തി നിരതത്തി ഇടണം. അതിനു ശേഷം നാലായി വിഭജിച്ചു 500 ഗ്രാം ആകുന്നതുവരെ ആവർത്തിക്കണം.
മണ്ണ് ഏത് രീതിയിൽ സൂക്ഷിക്കണം?,"ഈ sampling plastic covers. Name of the farmer, address, and crop types are also mentioned in the paper inside the plastic cover."
മണ്ണു പരിശോധന ഫലം എപ്പോൾ ലഭിക്കും?,15-20 ദിവസത്തിനുളളിൽ മണ്ണു പരിശോധനയുടെ ഫലം കർഷകന് നേരിട്ട് അറിയിക്കും.
മണ്ണിന്റെ അന്താരാഷ്ട്ര വര്‍ഷം എപ്പോഴാണ് ആചരിച്ചത്?,2015-ല്‍ ഐക്യരാഷ്ട്രസഭ മണ്ണിന്റെ അന്താരാഷ്ട്ര വര്‍ഷം ആചരിക്കാന്‍ ആഹ്വാനം ചെയ്തു.
മണ്ണിന്റെ ഘടനയെ ബാധിക്കുന്ന കാര്യങ്ങള്‍ ഏതാണ്?,"പ്രകൃതി ചൂഷണം, അമിതമായ രാസവളങ്ങളും കീടനാശിനികളും, വനശീകരണം, പെരുകുന്ന മാലിന്യങ്ങള്‍ തുടങ്ങിയവ മണ്ണിന്റെ ഘടനയെ ബാധിക്കുന്നു."
മണ്ണിന്റെ മെച്ചപ്പെട്ട നില നിലനിര്‍ത്തുന്നതിനുള്ള മുന്‍ഗണനങ്ങള്‍ എന്തെല്ലാമാണ്?,"വൈവിധ്യമാര്‍ന്ന കൃഷിസമ്പ്രദായത്തിലേക്ക് തിരിച്ചുപോകേണ്ടതും, മണ്ണിന്റെ വളക്കൂറ് നിലനിര്‍ത്താന്‍ പരിപാലനവും, ജൈവവൈവിധ്യവും സംരക്ഷിക്കലും പ്രധാനമാണ്."
മണ്ണിന്റെ സംരക്ഷണം മനുഷ്യജീവിതത്തിനു എങ്ങനെ സഹായിക്കുന്നു?,"മണ്ണിന്റെ സംരക്ഷണം കൃഷിയുടെ ഉല്‍പാദനക്ഷമതയും, ജലസ്രോതസ്സുകളുടെ സംരക്ഷണവും, കാലാവസ്ഥാ വ്യതിയാനത്തിന്റെ പ്രതിരോധവും ഉറപ്പാക്കുന്നു."
ആഗോളതലത്ത് മണ്ണിന്റെ പ്രാധാന്യം എന്താണെന്ന് യുണൊ എപ്പോഴാണ് അവതരിപ്പിച്ചത്?,"2015-ല്‍ ഐക്യരാഷ്ട്രസഭ മണ്ണിന്റെ പ്രാധാന്യം, ഉപയോഗം, സംരക്ഷണത്തിന് ആവശ്യകത എന്നിവയെക്കുറിച്ചുള്ള അവബോധം ഉയര്‍ത്താന്‍ അന്താരാഷ്ട്ര മണ്ണ് വര്‍ഷം ആചരിക്കണമെന്ന് പ്രഖ്യാപിച്ചു."
മണ്ണ് എങ്ങനെ രൂപപ്പെടുന്നു?,"പാറക്കെട്ടുകളില്‍ കാറ്റും മഴയും, മഞ്ഞും, വെയിലുമേറ്റ് ദ്രവിക്കുന്ന വഴി ജൈവാംശം ചേര്‍ന്ന് മണ്ണ് രൂപപ്പെടുന്നു. ഈ പ്രക്രിയയെ 'പെഡോജെനസിസ്' എന്ന് പറയുന്നു."
മണ്ണിന്റെ ഫലഭൂയിഷ്ടത നഷ്ടപ്പെടുന്നതിനുള്ള കാരണം?,"മണ്ണിന്റെ ഫലഭൂയിഷ്ടത നഷ്ടപ്പെടുന്നതിന് പ്രധാനമായും മനുഷ്യരുടെ പ്രകൃതി ചൂഷണം, കര്‍ഷകര്‍ ഉപയോഗിക്കുന്ന രാസവളങ്ങള്‍, കാടുകള്‍ വെട്ടല്‍, നിരന്തരം മണ്ണ് ഉപയോഗിക്കല്‍ തുടങ്ങിയവ ആണ്."
മണ്ണൊലിപ്പിന്റെ അപകടങ്ങള്‍ എന്തെല്ലാം?,"മണ്ണൊലിപ്പിനെ കാരണം കൃഷി ഉല്‍പാദനത്തിലും ജലസ്രോതസ്സുകളിലും വലിയ കുറവുണ്ടാക്കുന്നു, കൂടാതെ മണ്ണിന്റെ ഫലഭൂയിഷ്ടതയും നാശം നേടുന്നു."
മണ്ണിന്റെ ഉപാധികള്‍ ആര്‍ക്കും എങ്ങനെ പ്രയോജനപ്പെടുന്നു?,"മണ്ണിന്റെ ആരോഗ്യപരമായ നില നിലനിര്‍ത്തുന്നത് ഭൂമിയിലെ ജൈവവൈവിധ്യവും, വനം, ജലസ്രോതസ്സുകളും സംരക്ഷിക്കുന്നതിനാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്."
പ്ലാസ്റ്റിക് മണ്ണില്‍ എങ്ങനെ ദോഷകരമാണ്?,"പ്ലാസ്റ്റിക് പോലുള്ള വസ്തുക്കള്‍ മണ്ണിലെ സൂക്ഷ്മജീവികളുടെയും മണ്ണിരകളുടെയും പ്രവര്‍ത്തനങ്ങളെ തടസ്സപ്പെടുത്തുന്നു, കൂടാതെ മണ്ണിന്റെ പ്രദോഷകരമായ സ്വഭാവം കൂട്ടുന്നു."
വൃക്ഷങ്ങളുടെയും സസ്യങ്ങളുടെയും സംരക്ഷണവും പരിപാലനവും എന്താണ്?,"വൃക്ഷായുര്‍വേദം, വൃക്ഷങ്ങളുടെയും സസ്യങ്ങളുടെയും ചികിത്സകളും സംരക്ഷണവും പരിപാലനവും പ്രതിപാദിക്കുന്നു."
ഇലകളിൽ മഞ്ഞനിറം കാണുന്നത് എന്തിന്റെ ലക്ഷണമാണ്?,ഇലകളിലെ മഞ്ഞനിറം പിത്ത കോപത്തിന്റെ ലക്ഷണമാണ്.
പഞ്ചസാരയും കടുകും ചേർത്തു എവിടെ പുരട്ടാം?,പഞ്ചസാരയും കടുകും ചേർത്തു വേരിൽ പുരട്ടിയശേഷം എള്ള് കത്തിച്ച ചാരം വെള്ളത്തിൽ കലക്കി ചെടിക്ക് നനയ്ക്കുക.
പുത്തൻ പൂക്കളും കായ്കളും കൊണ്ടുള്ള പ്രശ്നങ്ങൾ എങ്ങനെ പരിഹരിക്കാം?,ചെടികളുടെ വേരിൽ ശുദ്ധമായ കായം കെട്ടിവെക്കുന്നത് പൂക്കളും കായ്കളും കൊഴിഞ്ഞുപോകാതിരിക്കാൻ സഹായിക്കും.
ഇലകൾ ശ്വാസകോശത്തിന്റെ വൈകല്യത്തിനുള്ള ലക്ഷണമാണ് എന്ന് പറയാമോ?,"അതെ, ഇലകൾ ശ്വാസകോശത്തിലെ വൈകല്യത്തിന്റെ ലക്ഷണമാണ്."
ചെടികളുടെ മുറിവുകൾ വേഗത്തിൽ ഉണങ്ങാൻ എന്ത് ചെയ്യണം?,"പേരാൽത്തൊലി, അത്തിത്തൊലി, ചാണകം എന്നിവ തേനും നെയ്യും ചേർത്ത് അരച്ച് സസ്യങ്ങളുടെ മുറിവുകളിൽ പുരട്ടിയാൽ മുറിവുകൾ വേഗത്തിൽ ഉണങ്ങും."
പൂക്കാത്ത ചെടികൾ പൂക്കുന്നതിനായി എന്ത് ചെയ്യാം?,മത്സ്യമാംസാദികൾ കഴുകിയ വെള്ളം ചെടിക്ക് ഒഴിക്കണം.
ചെടികൾ എപ്പോഴാണ് പിതൃവരോധത്തിൽ നിന്ന് കൊഴിഞ്ഞുപോകുന്നത്?,ചെടികൾ പിതൃവരോധത്തിൽ പെട്ടാൽ വേഗത്തിൽ ക്ഷീണിച്ച് പോകുകയും ഫലങ്ങൾ പാകമാകാതെ പഴുക്കുകയും ചെയ്യും.
പശുവിന്റെ പാലും മറ്റ് എന്ത് ചേർത്തു ഉപയോഗിക്കാം?,പശുവിന്റെ പാലും പഞ്ചസാരയും എള്ളുപൊടിയും ചേർത്ത് மரത്തിൽ പുരട്ടാം.
ഉറുമ്പുകൾ നശിപ്പിക്കാൻ എന്ത് ചെയ്യാം?,എരുക്ക് സമൂലം ചെറിയ കഷണങ്ങളാക്കി സസ്യങ്ങളുടെ കടകളിലേക്ക് വെള്ളം പോകുന്ന ചാലുകളിൽ ഇടവിട്ട് വെക്കുക.
വൃക്ഷം ശോഷിക്കുന്നത് എങ്ങനെ തടയാം?,"പഞ്ചസാര, എള്ളുപൊടി, പശുവിന്റെ പാല് എന്നിവ ചേർത്തു മരത്തിൽ പുരട്ടുന്നതും ശോഷണം തടയുന്നതിനായി നല്ലതാണ്."
സസ്യങ്ങൾക്ക് ക്ഷീണനശ്ശം കുറയ്ക്കാൻ എന്ത് ഉപയോഗിക്കാം?,"കഷായങ്ങൾ ഉപയോഗിച്ചുള്ള പരിഹാരങ്ങൾ, ട്രിഫലകഷായം, വെപ്പിൻ തൊലി എന്നിവ ഉപയോഗിച്ച് സസ്യങ്ങൾക്ക് സഹായിക്കാം."
ചെടികൾക്ക് കൂടിയ വളർച്ച നേടുന്നതിന് എന്ത് ഉപയോഗിക്കാം?,"ചെടികൾക്ക് വളർച്ച നേടുന്നതിനായി മുത്തങ്ങ, രാമച്ചം, ഇലിപ്പപ്പൂവ് എന്നിവ ചേർത്ത് അരച്ച് വൃക്ഷത്തിന് നൽകാം."
മാങ്ങയുടെ വലുപ്പം കൂട്ടാൻ എന്ത് ഉപയോഗിക്കാം?,"പാൽ, എള്ള്, മാംസം, മത്സ്യം എന്നിവ തിളപ്പിച്ച് അടുപ്പിച്ച് മാങ്ങയ്ക്ക് നൽകുക."
പണ്ടുകാലത്ത് വൃക്ഷങ്ങളിൽ തടസ്സം ഉണ്ടാകുന്നതിന് എന്ത് നിർദേശിക്കുന്നു?,"പട്ട, പയറ്, ഉഴുന്ന്, യവം, എള്ള് എന്നിവ ചേർത്ത് വൃക്ഷത്തിന് നൽകുന്നത് വ്യത്യസ്ത ശരീരഭാഗങ്ങൾക്കും രോഗങ്ങൾക്കും ഉപകാരപ്രദമാണ്."
ഇലകൾക്ക് വിശേഷാൽ പരിചരണം ആവശ്യമാണോ?,"പക്ഷേ, ഇലകൾക്ക് കഫകോപത്തെ തുടർന്ന് വളരെ പതുക്കിയ വൃദ്ധിയും, രുചികുറവും ഉണ്ടാകും."
ചെടികളിലെ മുറിവുകൾ എന്തുകൊണ്ടാണ് ഉണ്ടാകുന്നത്?,ചെടികളുടെ മുറിവുകൾ സന്ദർശകശക്തി മുതലായവരുടെ തടസ്സം കൊണ്ടാണ് ഉണ്ടാകുന്നത്.
ചെടികൾക്ക് ശ്രദ്ദേയമായ പരിചരണവും പരിപാലനവും എങ്ങനെ ചെയ്യാം?,"ശുദ്ധമായ കായം, പഞ്ചസാര, കടുകു, ചെമ്പരത്തി എന്നിവ ചേർത്ത് പരിചരണം ചെയ്യാം."
ഉറുമ്പുകൾ ഇല്ലാതാക്കുന്നതിനുള്ള ഏറ്റവും നല്ല മാർഗം എന്താണ്?,"അലങ്കാരച്ചെടികളിൽ ഭക്ഷണങ്ങളും ഉപയോഗിച്ച്, ഫോസ്ഫോറിക് ആസിഡ് പോലെ വ്യവസ്ഥകൾ സമർപ്പിക്കുക."
വൃക്ഷങ്ങളുടെ വളർച്ചയ്ക്ക് അത്യാവശ്യം എന്ത്?,"വൃക്ഷങ്ങളുടെ വളർച്ചയ്ക്ക് സമയബന്ധിതമായ ചെലവ്, നിത്യപരിപാലന പ്രവർത്തനങ്ങൾ വേണം."
കറിവേപ്പിന്റെ വളർച്ച മുരടിപ്പിക്കുന്ന പ്രധാന കാരണം എന്താണ്?,കറിവേപ്പിന്റെ വളർച്ച മുരടിപ്പിക്കുന്ന പ്രധാന കാരണം കീടങ്ങളും രോഗങ്ങളും ആണ്.
കറിവേപ്പിൽ ഇലചുരുളലും മുരടിപ്പും എന്തുകൊണ്ടാണ് സംഭവിക്കുന്നത്?,കറിവേപ്പിലെ ഇലചുരുളലും മുരടിപ്പുംмандരി-മുഞ്ഞ എന്നിവയുടെ ആക്രമണമാണ്.
മണ്ഡരിയുടെ ലക്ഷണങ്ങൾ എന്താണ്?,മണ്ഡരിയുടെ ലക്ഷണങ്ങൾ ഇലകളുടെ പുറത്ത് ഇളം പച്ചനിറത്തിൽ പൊട്ടുകളും പുകിയ ഇലകളിൽ ചുരുളിച്ച് കാണപ്പെടുന്നു.
കറിവേപ്പിന്റെ ഇലമുരടിപ്പിനെ നിയന്ത്രിക്കുന്ന മാർഗങ്ങൾ എന്തെല്ലാമാണ്?,"കറിവേപ്പിന്റെ ഇലമുരടിപ്പിനെ നിയന്ത്രിക്കാൻ പല മാർഗങ്ങളും ഉപയോഗിക്കാം, പ്രത്യേകിച്ച് കീടങ്ങളിൽ നിന്നും രക്ഷപ്പെടാൻ പ്രത്യേക കയറ്റങ്ങൾ."
കറിവേപ്പിന്റെ പൂർണ്ണമായ വളർച്ച മുറിക്കാൻ എന്തെല്ലാം ചികിത്സകൾ ഉണ്ട്?,"പല ലളിതമായ മാർഗങ്ങൾ ഉപയോഗിച്ച് കറിവേപ്പിന്റെ വളർച്ച മുറിക്കാൻ സാധിക്കും, ഉദാഹരണത്തിന് രോഗ പ്രതിവിധികളും കീടങ്ങളുമായി പോരാടുന്ന രീതികളും."
കറിവേപ്പിൽ കീടങ്ങളെ തടയാനുള്ള മാർഗങ്ങൾ എന്തെല്ലാമാണ്?,"കറിവേപ്പിൽ കീടങ്ങളെ തടയാൻ കീടനിയന്ത്രണ മാർഗങ്ങൾ, ഫംഗിസൈഡുകൾ, കീടനെത്രണം എന്നിവ പ്രയോഗിക്കാം."
കവുങ്കിന് വളപ്രയോഗം എങ്ങനെ നടത്തണം?,"കവുങ്കിന് പ്രഥമ വര്‍ഷം സെപ്റ്റംബര്‍-ഒക്ടോബര്‍ മാസങ്ങളില്‍ 12 കി.ഗ്രാം പച്ചിലവളമോ കമ്പോസ്റ്റോ നല്‍കണം. രണ്ടാമതു, നാടന്‍ ഇനങ്ങള്‍ക്ക് 10:40:140 ഗ്രാം പാക്യജനകം, ഭാവഹം, ക്ഷാരം എന്നിവ നല്‍കണം."
മംഗളപോലുള്ള ഉല്‍പ്പാദനശേഷി കൂടിയ ഇനങ്ങള്‍ക്ക് എത്ര ത്തില്‍ വളം നല്‍കണം?,മംഗളപോലുള്ള ഉല്‍പ്പാദനശേഷി കൂടിയ ഇനങ്ങള്‍ക്ക് 150:60:210 (NPK) ഗ്രാം എന്ന ഉയര്‍ന്ന നിരക്കില്‍ രാസവളങ്ങള്‍ നല്‍കണം.
രാസവളത്തിന്‍റെ വിതരണം എങ്ങനെ ക്രമീകരിക്കണം?,"രാസവളത്തിന്‍റെ മൂന്നില്‍ ഒരുഭാഗം ആദ്യ വര്‍ഷവും, രണ്ടാമത് രണ്ടുഭാഗം രണ്ടാം വര്‍ഷവും നല്‍കിയാല്‍ മതി. മൂന്നാം വര്‍ഷം മുതല്‍ മുഴുവന്‍ അളവും കൊടുക്കാം."
ജലസേചനസൗകര്യമുള്ള സ്ഥലങ്ങളില്‍ ഏതു മാസങ്ങളില്‍ വളം നല്‍കണം?,"ജലസേചനസൗകര്യമുള്ള സ്ഥലങ്ങളില്‍ സെപ്റ്റംബര്‍-ഒക്ടോബര്‍, ഫെബ്രുവരി മാസങ്ങളില്‍ (പകുതിവീതം) രണ്ടു പ്രാവശ്യമായി രാസവളം നല്‍കാം."
